groupid,group_parent,group_img,group_hidden,group_filename,group_minagemonths,group_maxagemonths,group_gender,group_catid,group_order,group_keywords,group_metadesc,group_metatitle,group_desc,group_name,group_minlevelforsee,
"13387","13353","69931/images/101164/Category_Hens_Night.jpg",,"Hen-Parties.html","0","0","_","104","1","Hen Party ","Hen Party Supplies","Hen Party Supplies at PartyZone 09 4421442 ",,"Hen & Stag Party","0",
"13401","13357","69931/images/101164/Category_100th.jpg",,"100th-birthday-party-supplies.html","0","0","_","97","13","100 Birthday Party Supplies","100th Birthday Party Supplies","100th Birthdayat PartyZone 09 4421442 r","","100th","0",
"60860","13354","69931/images/Category_Little_Mermaid.jpg"," ","Little-mermaid-party-supplies.html","0","0","_","104","100",,,"Little Mermaid supplies - PartyZone 09 4421442","","Little Mermaid","0",
"67995","13354","69931/images/Category_Elmo.jpg"," ","Elmo_Party_Supplies.html","0","0","_","104","100",,,"Elmo Party Supplies at PartyZone 09 4421442","","Elmo / Sesame St","0",
"56845","13354","69931/images/Category_Star_Wars.jpg"," ","Star-Wars-Party-Supplies.html","0","0","_","104","100",,,"Star Wars Party Supplies at PartyZone 09 4421442","","Star Wars","0",
"96997","13270",," ",,"0","0",,"0","100",,,,,"Batteries","0",
"60452","13354","69931/images/Category_Bob_the_Builder.jpg"," ","bob_the_builder_party_supplies.html","0","0","_","104","100","","","Bob the Builder party supplies at PartyZone 09 4421442 ",,"Bob the Builder","0",
"13293","0","69931/images/101164/Category_Decorations.jpg",,"Party-Decorations.html","0","0","_","100","8","Party Supplies Centre Pieces Banners Confetti Scatters Flags Bunting Cut Outs Foil Curtains Hanging Decor Signs Spangles Streamers Fun Tapes","Centre Pieces, Banners, Confetti, Scatters, Flags, Bunting, Cut Outs, Foil Curtains, Hanging Decor, Signs, Spangles, Streamers & Fun Tapes","Party Decorations PartyZone 09 4421442 ",,"Decorations","0",
"35384","0","69931/images/Category_Event_Hire_a.jpg"," ","Wedding_Hire.html","0","0","_","97","17","Hire Marquee Table Chair Dinnerware Cutlery Glasses Linen","Hire Marquees Dinnerware Tableware Glasses Tables Chairs Linen Cutlery","Wedding Hire at PartyZone 09 4421442","Everything for your Wedding","Wedding & Event Hire","0",
"54551","13354","69931/images/All_Blacks.jpg"," ","All-Blacks-Rugby-Party-Supplies.html","0","0","_","104","100","","","All Blacks Rugby Party Supplies at PartyZone 09 4421442 ",,"All Blacks and Rugby","0",
"87377","13353","69931/images/categories/Kiwipong.jpg"," ","Beerpong_drinking_game.html","0","0",,"0","19",,,"Beerpong drinking game tables and cups at PartyZone 09 4421442","Tables, Cups & everything you need","Kiwipong - Beerpong","0",
"13393","13357","69931/images/101164/Category_21st.jpg",,"21st.html","0","0","_","97","4",,"21st Birthday Party Supplies Decorations","21st Birthday Party Supplies at PartyZone 09 4421442 ",,"21st","0",
"13338","13293","69931/images/101164/Category_Scene_Setters.jpg",,"party-themes.html","0","0","_","100","100","Amscan Scene Setter Party decorations Room Border Roll Add-Ons","Amscan Scene Setter Party decorations - easy to set the scene","Amscan Scene Setter Party decorations","Fabulous instant themes for all ages","Scene Setters - Instant Themes","0",
"85613","13354","69931/images/categories/Disney_Planes_Category.jpg"," ","Disney_Planes_Partyware.html","0","0",,"0","100",,,"Disney Planes Partyware at PartyZone 09 4421442",,"Disney Planes","0",
"35462","35384","69931/images/Category_Linen_Trestle.jpg"," ","Auckland_Party_Hire-Linen-Trestle-Table-Covers.html","0","0","_","101","100","Hire Linen Trestle Table Covers Weddings Birthdays Events","Hire Trestle Table Covers for Weddings Birthdays & Special Events","Hire Trestle Table Covers for Weddings Birthdays & Special Events at PartyZone 09 4421442 ","","Hire Table Covers - Trestle","0",
"13416","13293","69931/images/101164/Category_Cascade.jpg",,"Birthday-party_decorations_supplies.html","0","0","_","100","100","Cascade Party Supplies Decorations","Cascade Party Decorations","Cascades and Hanging Party Decorations at PartyZone 09 4421442","","Hanging Decorations","0",
"76761","13354","69931/images/categories/Category_Angry_Birds.jpg"," ","Party_Supplies_Angry_BIrds.html","0","0","_","104","100",,,"Childrens Party Supplies Angry Birds at PartyZone 4421442",,"Angry Birds","0",
"76594","13354","69931/images/categories/Fire_Fighter_Category.jpg"," ","Fire_Fighter_Party_Supplies.html","0","0","_","104","100",,,"Fire Fighter party supplies at PartyZone 09 4421442",,"Fire Fighter","0",
"13339","13270","69931/images/101164/Category_Pinatas.jpg",,"Party_Supplies_Pinatas.html","0","0","_","100","100","Party Supplies Pinatas","Party Pinatas - Traditional Designs and Current Party Themes","Party Pinatas - big range - at PartyZone 09 4421442","Ready to fill pinatas.","Pinatas","0",
"55268","35384","69931/images/Category_tables_and_chairs.jpg"," ","Auckland_Party_Hire_Tables_Chairs.html","0","0","_","101","100",,"Hire Tables and Chairs & all your party & event needs at PartyZone 09 4421442","Hire Tables and Chairs at PartyZone 09 4421442","","Hire Tables & Chairs","0",
"20714","13270","69931/images/101164/Category_Poppers.jpg",,"party_supplies_poppers.html","0","0","_","100","100","Party Suppliers Poppers","Party Poppers - Always good fun","Party Poppers at PartyZone 09 4421442",,"Poppers & Confetti Cannons","0",
"13316","13293","69931/images/101164/Category_Spangles.jpg",,"party-decoration.html","0","0","_","100","100","Spangles Party Supplies Decorations","Spangles Party Decorations","Spangles Party Decorations at PartyZone 09 4421442","Great for Table Decorations etc - Huge Range","Spangles and Sprays","0",
"55263","35384","69931/images/Hire_Bar___Acccessories_Category_HIB.jpg"," ","Auckland_Party_Hire_Bar.html","0","0","_","101","100","","","Hire portable bar & accessories at PartyZone 09 4421442","Portable Bars and all the stuff you need","Hire Bar & Accessories","0",
"66750","13292","69931/images/categories/Error: ILLEGAL Illegal src filename!"," ","Balloon_Bobbers_exterior_balloons_at_PartyZone.html","0","0","_","115","100","","","Attention grabbing exterior balloons at PartyZone 09 4421442 .","Exterior balloons last for months - no helium required.","Balloon Bobbers (Exterior)","0",
"55505","35384","69931/images/categories/Category_Spits_and_BBQ_s.jpg"," ","Auckland_Party_Hire_BBQ_Spits.html","0","0","_","101","100",,,"Hire BBQ, Spit etc at PartyZone 09 4421442",,"Hire BBQ's,Spits & Heaters","0",
"13306","13292","69931/images/101164/Category_Custom_Printed_Balloons.jpg",,"Print_Balloons.html","0","0","_","100","100",,"Print balloons to order with custom designs for promotions and parties","Print balloons to order with custom designs for promotions and parties","Ask for a quote.","Print Balloons (Custom)","0",
"22070","0",""," ","Mothers-Day.html","0","0","_","0","-1","Mother's Day","Mother's Day","Mother's Day supploies at PartyZone 09 4421442 ","","Mothers Day","0",
"13324","13295","69931/images/101164/Category_Cutlery.jpg",,"Party_Supplies_Disposable_tableware.html","0","0","_","103","100","Party Supplies Cutlery","Party Cutlery","Party Supplies Disposable Cutlery at PartyZone 09 4421442",,"Cutlery, Picks, Stirrers, Straws","0",
"20823","13270","69931/images/101164/Category_Cake_Boards____Decorations.jpg",,"cake-decorations_party_supplies.html","0","0","_","98","100","Party Supplies Cake Boards Doilies Stands Figurines Decorations","Cake Boards, Doilies Stands Figurines and Decorations","Cake Boards, Stands, Figurines & Decorations at PartyZone 09 4421442","","Cake Boards, Decorations etc","0",
"49355","0","69931/images/Category_World_Cup___All_Blacks.jpg"," ","All-Blacks-Rugby-Sports-Team-Party-Supplies.html","0","0","_","104","3","","","All Blacks Rugby Sports Teams Party Supplies at PartyZone 09 4421442 ",,"All Blacks, Rugby & Sports","0",
"84979","13353","69931/images/categories/USA_Category.jpg"," ",,"0","0","_","104","17",,,,,"US Stars and Stripes","0",
"13391","0","69931/images/101164/Category_halloween.jpg",,"Halloween_supplies.html","0","0","_","97","14","Halloween Party Spider Webs Rats Sheletons Amscan Scene Setters Add-Ons Room Rolls ","Halloween Part Supplies","Halloween / Horror Party Supplies at PartyZone 09 4421442",,"Halloween / Horror","0",
"13367","13353","69931/images/101164/Category_Masquerade.jpg",,"Masquerade-ideas.html","0","0","_","104","12","Masquerade Party Supplies Masks","Masquerade Party Supplies","Masquerade  Ideas and Party Supplies at PartyZone 09 4421442 ",,"Masquerade","0",
"20985","13353","69931/images/101164/Category_Awards___Hollywood.jpg",,"Hollywood-theme-party-supplies.html","0","0","_","104","3",,"Awards Night / Hollywood Party Supplies","Awards Night / Hollywood Party Supplies at PartyZone 09 4421442 ","","Awards Night / Hollywood","0",
"67764","13354","69931/images/Category_Spiderman_4.jpg"," ","Spiderman_4_party_supplies.html","0","0","_","104","100",,,"Spiderman 4 Party Supplies at PartyZone 09 4421442",,"Spiderman","0",
"13363","13353","69931/images/101164/Category_Rock_N_Roll.jpg",,"Rock-a-party_supplies.html","0","0","_","104","15","Rock and Roll Party Supplies Decorations Amscan Scene Setters Room Border Rolls Add-Ons Cut Outs ","Rock and Roll Party Supplies","Rock and Roll Party Supplies at PartyZone 09 4421442 ",,"Rock and Roll and 50's","0",
"13354","0","69931/images/101164/Category_Children_s_Themes.jpg",,"Childrens-Party-Supplies.html","0","0","_","100","7","Childrens Party Pirate Jungle Dinosaurs Thomas Barbie Ben 10 Princess Sponge Bob Cars Batman Mickey Mouse Bob the Builder Winnie the Pooh Retro Rocket My Little Pony ","All the popular Childrens Party Themes including Pirate Jungle Dinosaurs Thomas Barbie Ben 10 Princess Sponge Bob Cars Batman Mickey Mouse Bob the Builder Winnie the Pooh Retro Rocket My Little Pony ","Childrens Party Supplies - All the popular Childrens Party Themes at PartyZone 09 4421442 ",,"Childrens Parties","0",
"55265","35384","69931/images/AKHIB_Glass_Category.jpg"," ","Glass_Hire.html","0","0","_","101","100",,"Glass Hire Wine Glasses Flutes Martini Glasses ","Glass Hire Wine Glasses Flutes Martini Glasses call PartyZone 09 4421442",,"Hire Glasses","0",
"35445","35384","69931/images/Category_Chair_Covers.jpg"," ","Hire-Chair-Covers-Weddings-Birthdays-Events.html","0","0","_","101","100","Hire Chair Covers Weddings Birthdays Events","Hire Chair Covers for Weddings Birthdays & Events","Hire Chair Covers for Weddings Birthdays & Events at PartyZone 09 4421442 ","","Hire Chair Covers","0",
"55266","35384","69931/images/Hire_Catering_Equip_Category_HIB.jpg"," ","Auckland_Party_Hire_Catering_Equipment.html","0","0","_","101","100",,,"Catering equipment for hire at PartyZone 094421442","Chafing Dishes, Cooking Pots, Urns, Hot Plates, Pie Warmers etc","Hire Catering Equipmt","0",
